N				k				Ortalama Süre (saniye)
100000				3				0.028053
100000				3				0.028124
100000				3				0.028185
100000				3				0.028496
100000				3				0.029044
100000				3				0.029025
100000				3				0.029153
100000				3				0.028877---Ortalama
100000				4				0.025790
100000				4				0.025205
100000				4				0.025318
100000				4				0.025229
100000				4				0.025016
100000				4				0.024956
100000				4				0.024839
100000				4				0.024830
100000				4				0.024839
100000				4				0.024791
100000				4				0.025081---Ortalama
100000				5				0.022629
100000				5				0.023107
100000				5				0.022689
100000				5				0.023293
100000				5				0.022919
100000				5				0.022838
100000				5				0.022984
100000				5				0.022844
100000				5				0.022770
100000				5				0.022608
100000				5				0.022868---Ortalama
100000				6				0.026319
100000				6				0.026271
100000				6				0.026333
100000				6				0.026248
100000				6				0.026425
100000				6				0.026672
100000				6				0.026807
100000				6				0.027069
100000				6				0.026905
100000				6				0.026998
100000				6				0.026605---Ortalama
100000				7				0.019882
100000				7				0.020219
100000				7				0.020007
100000				7				0.019987
100000				7				0.019984
100000				7				0.019683
100000				7				0.020660
100000				7				0.023167
100000				7				0.022109
100000				7				0.019809
100000				7				0.020551---Ortalama
100000				8				0.024355
100000				8				0.024549
100000				8				0.024444
100000				8				0.024671
100000				8				0.025003
100000				8				0.024948
100000				8				0.024398
100000				8				0.025068
100000				8				0.024270
100000				8				0.024564
100000				8				0.024627---Ortalama
100000				9				0.030174
100000				9				0.030040
100000				9				0.029907
100000				9				0.029744
100000				9				0.030857
100000				9				0.030084
100000				9				0.030045
100000				9				0.029758
100000				9				0.029657
100000				9				0.029583
100000				9				0.029985---Ortalama
100000				10				0.022651
100000				10				0.022647
100000				10				0.022735
100000				10				0.022787
100000				10				0.022690
100000				10				0.023402
100000				10				0.023833
100000				10				0.023015
100000				10				0.022786
100000				10				0.023629
100000				10				0.023018---Ortalama
1000000				2				0.388668
1000000				2				0.391576
1000000				2				0.389672
1000000				2				0.390918
1000000				2				0.391466
1000000				2				0.392758
1000000				2				0.390238
1000000				2				0.390202
1000000				2				0.391117
1000000				2				0.405541
1000000				2				0.392216---Ortalama
1000000				3				0.324698
1000000				3				0.321045
1000000				3				0.322434
1000000				3				0.319855
1000000				3				0.327092
1000000				3				0.324138
1000000				3				0.321424
1000000				3				0.321741
1000000				3				0.321230
1000000				3				0.320810
1000000				3				0.322447---Ortalama
1000000				4				0.241509
1000000				4				0.240906
1000000				4				0.240845
1000000				4				0.241347
1000000				4				0.241348
1000000				4				0.241762
1000000				4				0.241408
1000000				4				0.241061
1000000				4				0.241467
1000000				4				0.241186
1000000				4				0.241284---Ortalama
1000000				5				0.277853
1000000				5				0.277162
1000000				5				0.277177
1000000				5				0.277079
1000000				5				0.276550
1000000				5				0.276799
1000000				5				0.276665
1000000				5				0.276901
1000000				5				0.277850
1000000				5				0.277654
1000000				5				0.277169---Ortalama
1000000				6				0.250588
1000000				6				0.249358
1000000				6				0.249752
1000000				6				0.250142
1000000				6				0.251956
1000000				6				0.251028
1000000				6				0.252714
1000000				6				0.252555
1000000				6				0.252605
1000000				6				0.250353
1000000				6				0.251105---Ortalama
1000000				7				0.267110
1000000				7				0.268929
1000000				7				0.267302
1000000				7				0.265155
1000000				7				0.264846
1000000				7				0.265803
1000000				7				0.265114
1000000				7				0.281472
1000000				7				0.267395
1000000				7				0.268140
1000000				7				0.268127---Ortalama
1000000				8				0.261044
1000000				8				0.260720
1000000				8				0.260566
1000000				8				0.261190
1000000				8				0.259981
1000000				8				0.260561
1000000				8				0.261847
1000000				8				0.260407
1000000				8				0.261044
1000000				8				0.261466
1000000				8				0.260883---Ortalama
1000000				9				0.336809
1000000				9				0.339833
1000000				9				0.344549
1000000				9				0.343777
1000000				9				0.343640
1000000				9				0.349230
1000000				9				0.345704
1000000				9				0.344569
1000000				9				0.343895
1000000				9				0.360487
1000000				9				0.345249---Ortalama
1000000				10				0.267187
1000000				10				0.265624
1000000				10				0.265544
1000000				10				0.266599
1000000				10				0.265022
1000000				10				0.264804
1000000				10				0.264567
1000000				10				0.265415
1000000				10				0.264558
1000000				10				0.264868
1000000				10				0.265419---Ortalama
10000000				2				4.356476
10000000				2				4.370055
10000000				2				4.353416
10000000				2				4.368411
10000000				2				4.356570
10000000				2				4.354886
10000000				2				4.384101
10000000				2				4.358029
10000000				2				4.360997
10000000				2				4.351850
10000000				2				4.361479---Ortalama
10000000				3				3.506043
10000000				3				3.532305
10000000				3				3.508037
10000000				3				3.522467
10000000				3				3.501589
10000000				3				3.517998
10000000				3				3.504579
10000000				3				3.504947
10000000				3				3.505061
10000000				3				3.499384
10000000				3				3.510241---Ortalama
10000000				4				3.178099
10000000				4				3.165586
10000000				4				3.164396
10000000				4				3.166097
10000000				4				3.164702
10000000				4				3.158508
10000000				4				3.170150
10000000				4				3.161107
10000000				4				3.159362
10000000				4				3.173177
10000000				4				3.166118---Ortalama
10000000				5				2.596921
10000000				5				2.570783
10000000				5				2.582547
10000000				5				2.573275
10000000				5				2.595858
10000000				5				2.574604
10000000				5				2.576410
10000000				5				2.568254
10000000				5				2.573462
10000000				5				2.577145
10000000				5				2.578926---Ortalama
10000000				6				2.501072
10000000				6				2.519540
10000000				6				2.502121
10000000				6				2.496182
10000000				6				2.496808
10000000				6				2.503489
10000000				6				2.501496
10000000				6				2.516679
10000000				6				2.546298
10000000				6				2.537554
10000000				6				2.512124---Ortalama
10000000				7				3.511726
10000000				7				3.440942
10000000				7				3.463531
10000000				7				3.491813
10000000				7				3.380197
10000000				7				3.386902
10000000				7				3.389768
10000000				7				3.380369
10000000				7				3.377263
10000000				7				3.446082
10000000				7				3.426859---Ortalama
10000000				8				3.032027
10000000				8				2.968846
10000000				8				2.867712
10000000				8				2.820828
10000000				8				2.813445
10000000				8				2.823121
10000000				8				2.842511
10000000				8				2.824175
10000000				8				2.804437
10000000				8				2.806977
10000000				8				2.860408---Ortalama
10000000				9				3.755842
10000000				9				3.777064
10000000				9				3.815021
10000000				9				3.787562
10000000				9				3.776498
10000000				9				3.774220
10000000				9				3.815692
10000000				9				3.798941
10000000				9				3.770908
10000000				9				3.787916
10000000				9				3.785966---Ortalama
10000000				10				3.008606
10000000				10				3.017772
10000000				10				3.009346
10000000				10				3.035056
10000000				10				3.015520
10000000				10				3.065624
10000000				10				3.062990
10000000				10				3.011860
10000000				10				3.017272
10000000				10				3.040034
10000000				10				3.028408---Ortalama
